first_name,last_name,full_name,link,district,party,,,,
George,Butterfield,G.K. Butterfield ,http://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00027035&newMem=N&cycle=2014,1,Democrat,,,,
Renee,Ellmers,Renee Ellmers,http://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00031513&newMem=N&cycle=2014,2,Republican,,,,
Walter,Jones Jr.,Walter Jones Jr. ,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&cid=N00002299,3,Republican,,,,
David,Price,David Price,https://www.opensecrets.org/politicians/contrib.php?cycle=2014&type=I&cid=N00002260&newMem=N&recs=20,4,Democrat,,,,
Virginia,Foxx,Virginia Foxx,http://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00026166&newMem=N&cycle=2014,5,Republican,,,,
Bradley,Walker,Bradley Walker,http://influenceexplorer.com/politician/bradley-walker-r/56f3daa153564e82b93a2c12ecfbb8cc,6,Republican,,,,
David,Rouzer,David Rouzer,https://www.opensecrets.org/politicians/contrib.php?cid=N00033527&cycle=2014&type=I&newMem=Y&recs=100,7,Republican,,,,
Richard,Hudson,Richard Hudson,http://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00033630&newMem=N&cycle=2014,8,Republican,,,,
Robert,Pittenger,Robert Pittenger,http://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00034416&newMem=N&cycle=2014,9,Republican,,,,
Patrick,McHenry,Patrick McHenry,http://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00026627&newMem=N&cycle=2014,10,Republican,,,,
Mark,Meadows,Mark Meadows,https://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00033631&newMem=N&cycle=2014,11,Republican,,,,
Alma,Adams,Alma Adams,https://www.opensecrets.org/politicians/contrib.php?cid=N00035451&cycle=2014,12,Democrat,,,,
George,Holding,George Holding,http://www.opensecrets.org/politicians/contrib.php?type=C&cid=N00033399&newMem=N&cycle=2014,13,Republican,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
