organization-index,organization,indiv,pac,totals,Source
0,Full Sail,21630,0,21630,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
1,Corinthian Colleges,13500,6000,19500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
2,Autotrader.Com,15400,0,15400,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
3,United Parcel Service,0,13000,13000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
4,Turkish Coalition USA PAC,0,12000,12000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
5,BB&T Corp,1000,10000,11000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
6,General Electric,0,10500,10500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
7,Cook Group,7500,3000,10500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
8,Sabin Metal,10200,0,10200,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
9,National Assn of Insurance & Financial Advisors,0,10000,10000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
10,National Auto Dealers Assn,0,10000,10000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
11,Virginia Foxx for Congress,0,10000,10000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
12,Deere & Co,0,10000,10000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
13,Every Republican is Crucial PAC,0,10000,10000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
14,Alex Lee Inc,0,10000,10000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
15,American Bankers Assn,0,10000,10000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00026166&amp;newMem=N&amp;cycle=2014
