organization-index,organization,indiv,pac,totals,
0,Wallace & Graham,20400,0,20400,
1,New York Life Insurance,0,20000,20000,
2,American Society of Anesthesiologists,0,20000,20000,
3,Hendrick Motorsports,16200,0,16200,
4,Hendrick Automotive,16100,0,16100,
5,Ernst & Young,1000,15000,16000,
6,United Parcel Service,0,15500,15500,
7,Home Depot,0,15000,15000,
8,American Institute of CPAs,0,15000,15000,
9,Systel,13318,0,13318,
10,PricewaterhouseCoopers,0,12000,12000,
11,General Electric,0,12000,12000,
12,Cox Brothers Farms,11000,0,11000,
13,Honeywell International,0,10999,10999,
14,Every Republican is Crucial PAC,0,10000,10000,
15,Deloitte LLP,0,10000,10000,
16,CSX Corp,0,10000,10000,
17,Air Line Pilots Assn,0,10000,10000,
18,American Bankers Assn,0,10000,10000,
19,ROSKAM PAC,0,10000,10000,
20,National Beer Wholesalers Assn,0,10000,10000,
21,Koch Industries,0,10000,10000,
22,Lockheed Martin,1000,8500,9500,
23,Southern Cotton Growers Inc,0,9000,9000,
24,Massachusetts Mutual Life Insurance,500,8000,8500,
25,Wells Fargo,6475,2000,8475,
26,Northrop Grumman,0,8000,8000,
27,National Assn of Broadcasters,0,8000,8000,
28,National Pork Producers Council,0,8000,8000,
29,Hunoval Law Firm,7700,0,7700,
30,Investment Co Institute,0,7500,7500,
31,American Crystal Sugar,0,7500,7500,
32,CME Group,0,7500,7500,
33,National Ocean Industries Assn,0,7500,7500,
34,National Assn of Insurance & Financial Advisors,0,7500,7500,
35,Marathon Petroleum,0,7500,7500,
36,Lorillard Inc,0,7500,7500,
37,JPMorgan Chase & Co,0,7500,7500,
38,Piedmont Natural Gas,1000,6500,7500,
39,United Technologies,0,7500,7500,
40,Valero Energy,0,7500,7500,
41,TIAA-CREF,0,7000,7000,
42,Occidental Petroleum,0,7000,7000,
43,National Rural Electric Cooperative Assn,0,7000,7000,
44,General Dynamics,0,7000,7000,
45,Charlotte Pipe & Foundry,6857,0,6857,
46,Wine & Spirits Wholesalers of America,0,6780,6780,
47,National Chicken Council,0,6500,6500,
48,American College of Radiology,0,6500,6500,
49,American College of Surgeons,0,6500,6500,
50,AL Baucom Inc,6200,0,6200,
51,International Franchise Assn,0,6000,6000,
52,Jt Russell & Sons,6000,0,6000,
53,Textron Inc,0,6000,6000,
54,North Carolina Farm Bureau,0,5600,5600,
55,Lowe's Companies,0,5500,5500,
56,Monsanto Co,0,5500,5500,
57,Altria Group,0,5500,5500,
58,Credit Union National Assn,0,5500,5500,
59,Bank of America,0,5500,5500,
60,Blue Cross/Blue Shield,500,5000,5500,
61,McGuireWoods LLP,5200,0,5200,
62,Speedway Motorsports,5200,0,5200,
63,Sabatecar Dealership,5200,0,5200,
64,Pilot Catastrophe Services,5000,0,5000,
65,Publix Super Markets,0,5000,5000,
66,Raytheon Co,0,5000,5000,
67,RJ Reynolds Tobacco,0,5000,5000,
68,State of Nc Hwy Dept,5000,0,5000,
69,Wal-Mart Stores,0,5000,5000,
70,National Assn of Real Estate Investment Trusts,0,5000,5000,
71,Majority Cmte PAC,0,5000,5000,
72,National Restaurant Assn,0,5000,5000,
73,National Cotton Council,0,5000,5000,
74,National Auto Dealers Assn,0,5000,5000,
75,Boeing Co,0,5000,5000,
76,AstraZeneca PLC,0,5000,5000,
77,Charlotte-Mecklenburg Hospital Authority,0,5000,5000,
78,Associated Builders & Contractors,0,5000,5000,
79,Independent Community Bankers of America,0,5000,5000,
80,Jordan Logistics,5000,0,5000,
81,Hendrick Automotive Group,5000,0,5000,
82,Corning Inc,0,5000,5000,
83,Deere & Co,0,5000,5000,
84,Dickstein Shapiro LLP,0,5000,5000,
85,GlaxoSmithKline,0,5000,5000,
86,Freedom & Security PAC,0,5000,5000,
87,Freedom Project,0,5000,5000,
88,Colville Partners,4600,0,4600,
89,Parkdale Mills,4600,0,4600,
90,Roche Holdings,0,4500,4500,
91,Old Dominion Freight Line,0,4500,4500,
92,National Cattlemen's Beef Assn,0,4500,4500,
93,National Mining Assn,0,4500,4500,
94,National Turkey Federation,0,4500,4500,
95,North Carolina Soybean Producers Assn,0,4500,4500,
96,AT&T Inc,0,4500,4500,
97,Duke Energy,0,4500,4500,
98,Great Lakes Sugar Beet Growers Assn,0,4500,4500,
99,Aston Properties,4100,0,4100,
