organization-index,organization,pac,indivs,Source,
0,Northrop Grumman,10000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
1,American Crystal Sugar,10000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
2,Air Line Pilots Assn,10000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
3,National Rural Electric Cooperative Assn,8000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
4,Lockheed Martin,8000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
5,National Auto Dealers Assn,7500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
6,National Beer Wholesalers Assn,7500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
7,National Community Pharmacists Assn,7500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
8,National Assn of Insurance & Financial Advisors,7000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
9,National Assn of Realtors,6000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
10,American Chiropractic Assn,5250,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
11,JStreetPAC,5000,8000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
12,General Electric,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
13,Textron Inc,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
14,Ward & Smith P.A.,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
15,Credit Union National Assn,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
16,Protectseniors.org,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
17,National Marine Manufacturers Assn,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
18,American Academy of Pediatric Dentistry,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
19,American Assn for Justice,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
20,American Maritime Officers,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
21,PotashCorp,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
22,Coastal Federal Credit Union,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
23,Humane Society of the US,5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
24,Liberty PAC (Ron Paul),5000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
25,American Hospital Assn,4500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
26,American Institute of CPAs,4500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
27,First Citizens Bancshares,4500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
28,American Dental Assn,3500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
29,National Assn of Home Builders,3500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
30,Onex Corp,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
31,Blue Cross/Blue Shield,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
32,Great Lakes Sugar Beet Growers Assn,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
33,American Financial Services Assn,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
34,Dominion Resources,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
35,CSX Corp,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
36,Ernst & Young,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
37,SAIC,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
38,American Medical Assn,3000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
39,American Academy of Dermatology Assn,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
40,Teamsters Union,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
41,Finmeccanica SpA,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
42,Retired Enlisted Assn,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
43,American Academy of Orthopaedic Surgeons,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
44,National Air Traffic Controllers Assn,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
45,North Carolina Farm Bureau,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
46,VoteVets.org,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
47,American Academy of Ophthalmology,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
48,Grant Thornton LLP,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
49,National Cotton Council,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
50,Bayada Home Health Care,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
51,National Assn for Uniformed Services,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
52,Rent-A-Center,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
53,Brunswick Corp,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
54,Acton PAC,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
55,American Federation of Govt Employees,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
56,American Physical Therapy Assn,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
