organization-index,organization,indiv,pac,totals,
0,Signature Bank,40000,0,40000,
1,Wells Fargo,29350,8000,37350,
2,PricewaterhouseCoopers,0,30000,30000,
3,Indep Insurance Agents & Brokers/America,0,30000,30000,
4,Koch Industries,0,30000,30000,
5,Every Republican is Crucial PAC,0,30000,30000,
6,Investment Co Institute,0,27500,27500,
7,JPMorgan Chase & Co,0,27000,27000,
8,General Electric,0,25500,25500,
9,Velocity Solutions,25400,0,25400,
10,Hunoval Law Firm,25300,0,25300,
11,FMR Corp,17750,7500,25250,
12,Deloitte LLP,0,25000,25000,
13,American Bankers Assn,0,25000,25000,
14,American Institute of CPAs,0,25000,25000,
15,American Society of Anesthesiologists,0,25000,25000,
16,Home Depot,0,25000,25000,
17,Independent Community Bankers of America,0,25000,25000,
18,KPMG LLP,0,25000,25000,
19,AT&T Inc,0,23000,23000,
20,Wallace & Graham,23000,0,23000,
21,National Assn/Mutual Insurance Companies,0,22500,22500,
22,National Assn of Real Estate Investment Trusts,0,21000,21000,
23,National Auto Dealers Assn,0,20000,20000,
24,National Beer Wholesalers Assn,0,20000,20000,
25,Bank of America,0,20000,20000,
26,Ernst & Young,0,20000,20000,
27,Parkdale Mills,19100,0,19100,
28,Goldman Sachs,500,18500,19000,
29,Corning Inc,7800,9500,17300,
30,Honeywell International,0,16055,16055,
31,Credit Union National Assn,0,16000,16000,
32,Alex Lee Inc,5700,10000,15700,
33,Blue Cross/Blue Shield,0,15500,15500,
34,American Resort Development Assn,0,15000,15000,
35,Community Choice Financial,0,15000,15000,
36,Majority Cmte PAC,0,15000,15000,
37,National Restaurant Assn,0,15000,15000,
38,USAA,0,15000,15000,
39,Citigroup Inc,750,14000,14750,
40,New York Life Insurance,0,14500,14500,
41,Property Casualty Insurers Assn/America,0,14000,14000,
42,National Assn of Realtors,0,13500,13500,
43,American College of Radiology,0,13000,13000,
44,Wal-Mart Stores,0,13000,13000,
45,Comcast Corp,0,12500,12500,
46,Grant Thornton LLP,0,12500,12500,
47,US Bancorp,0,12500,12500,
48,SunTrust Banks,0,12000,12000,
49,PNC Financial Services,0,12000,12000,
50,Metlife Inc,0,12000,12000,
51,Google Inc,0,12000,12000,
52,PepsiCo Inc,11900,0,11900,
53,Depository Trust & Clearing Corp,0,11500,11500,
54,AFLAC Inc,0,11500,11500,
55,American Land Title Assn,0,11500,11500,
56,Mortgage Bankers Assn,0,11000,11000,
57,Prudential Financial,0,10500,10500,
58,HK Research,10400,0,10400,
59,Capitala Investment Advisors,10200,0,10200,
60,Captive-Aire Inc,10200,0,10200,
61,Charlotte-Mecklenburg Hospital Authority,0,10000,10000,
62,Capital One Financial,0,10000,10000,
63,American Seniors Housing Assn,0,10000,10000,
64,Associated Builders & Contractors,0,10000,10000,
65,Rock Holdings,0,10000,10000,
66,Plains Exploration & Production,10000,0,10000,
67,Texas Memory Systems,10000,0,10000,
68,Medtronic Inc,0,10000,10000,
69,National Assn of Federal Credit Unions,0,10000,10000,
70,National Assn of Insurance & Financial Advisors,0,10000,10000,
71,National Cable & Telecommunications Assn,0,10000,10000,
72,National Multi Housing Council,0,10000,10000,
73,Marsh & McLennan,0,10000,10000,
74,Securities Industry & Financial Mkt Assn,0,9500,9500,
75,UBS AG,0,9000,9000,
76,Navient Corp,0,9000,9000,
77,Morgan Stanley,0,9000,9000,
78,Massachusetts Mutual Life Insurance,750,8000,8750,
79,Real Estate Roundtable,0,8500,8500,
80,American Medical Assn,0,8500,8500,
81,Blackrock Inc,0,8500,8500,
82,GlaxoSmithKline,1000,7500,8500,
83,Verizon Communications,0,8000,8000,
84,Asplundh Tree Expert Co,7700,0,7700,
85,Altria Group,0,7500,7500,
86,AbbVie Pharmaceuticals,0,7500,7500,
87,Financial Services Institute,0,7500,7500,
88,Travelers Companies,0,7500,7500,
89,Lockheed Martin,0,7500,7500,
90,JLL Partners,0,7500,7500,
91,1st Franklin Financial,7400,0,7400,
92,Sulaski & Tinsley Fine Homes,7300,0,7300,
93,Mike Johnston Toyota of Hick,7200,0,7200,
94,BB&T Corp,0,7000,7000,
95,World Acceptance Corp,5000,2000,7000,
96,Duke Energy,1800,5000,6800,
97,Parton Lumber,6600,0,6600,
98,Podesta Group,6250,0,6250,
99,National Installment Lenders Assn,0,6000,6000,
100,HSBC Holdings,0,6000,6000,
101,Lorillard Inc,0,6000,6000,
102,Leprino Foods,6000,0,6000,
103,Financial Services Roundtable,0,6000,6000,
104,Zurich Financial Services,0,6000,6000,
