organization-index,organization,indiv,pac,totals,
0,NorPAC,15010,0,15010,
1,National Auto Dealers Assn,0,15000,15000,
2,New York Life Insurance,0,10000,10000,
3,American Bankers Assn,0,10000,10000,
4,Family Research Council,0,10000,10000,
5,Every Republican is Crucial PAC,0,10000,10000,
6,National Assn of Insurance & Financial Advisors,0,9500,9500,
7,Thermo Fisher Scientific,250,9000,9250,
8,CSX Corp,0,8000,8000,
9,Charlotte-Mecklenburg Hospital Authority,0,7500,7500,
10,Duke Energy,0,7000,7000,
11,Norfolk Southern,0,7000,7000,
12,National Assn of Realtors,0,6500,6500,
13,American Council of Engineering Cos,0,6000,6000,
14,National Rural Electric Cooperative Assn,0,5500,5500,
15,Eastern Band of Cherokee Indians,5200,0,5200,
16,Challenge Foundation,5100,0,5100,
17,Berkshire Hathaway,0,5000,5000,
18,Air Line Pilots Assn,0,5000,5000,
19,Freedom Project,0,5000,5000,
20,General Electric,0,5000,5000,
21,GlaxoSmithKline,0,5000,5000,
22,Home Depot,0,5000,5000,
23,National Multi Housing Council,0,5000,5000,
24,National Beer Wholesalers Assn,0,5000,5000,
25,Majority Cmte PAC,0,5000,5000,
26,Honeywell International,0,4281,4281,
27,Credit Union National Assn,0,4000,4000,
28,AT&T Inc,0,4000,4000,
29,Blue Cross/Blue Shield,0,4000,4000,
30,Union Pacific Corp,0,4000,4000,
31,United Beverages of North Carolina,3500,0,3500,
32,National Assn of Home Builders,0,3500,3500,
33,Express Scripts,0,3500,3500,
34,Indep Insurance Agents & Brokers/America,0,3000,3000,
35,Hardwood Federation,0,3000,3000,
36,Aircraft Owners & Pilots Assn,0,3000,3000,
37,American Assn of Orthodontists,0,3000,3000,
38,American Medical Assn,0,3000,3000,
39,Lockheed Martin,0,3000,3000,
40,National Council of Textile Orgs,0,3000,3000,
41,"National Stone, Sand & Gravel Assn",0,3000,3000,
42,North Carolina Farm Bureau,0,2600,2600,
43,Mountain Air Cc,2600,0,2600,
44,Archerd-Bell Investment Group,2600,0,2600,
45,Flavor First Growers & Packe,2600,0,2600,
46,Exxon Mobil,0,2500,2500,
47,Google Inc,0,2500,2500,
48,Associated Builders & Contractors,0,2500,2500,
49,Bill PAC (Shuster),0,2500,2500,
50,Burner Systems International,2500,0,2500,
51,Lorillard Inc,0,2500,2500,
52,Koch Industries,0,2500,2500,
53,Raytheon Co,0,2500,2500,
54,UBS AG,2500,0,2500,
55,National Rifle Assn,0,2000,2000,
56,Verizon Communications,0,2000,2000,
57,Wine & Spirits Wholesalers of America,0,2000,2000,
58,Scalise for Congress,0,2000,2000,
59,PricewaterhouseCoopers,0,2000,2000,
60,Owner-Operator Independent Drivers Assn,0,2000,2000,
61,Pharmaceutical Care Management Assn,0,2000,2000,
62,Nyte Inc,2000,0,2000,
63,National Assn of Health Underwriters,0,2000,2000,
64,National Ocean Industries Assn,0,2000,2000,
65,Bloomin' Brands,0,2000,2000,
66,Aeroflow Healthcare,2000,0,2000,
67,Association for Advanced Life Underwriting,0,2000,2000,
