organization-index,organization,indiv,pac,totals,
0,Massachusetts Mutual Life Insurance,32250,2000,34250,
1,Titan Technology Partners,27600,0,27600,
2,Duke Energy,15850,6500,22350,
3,CAPITALA INVESTMENT ADVISORS,20400,0,20400,
4,Coca-Cola Co,16300,0,16300,
5,Centerview Partners,15200,0,15200,
6,Edifice Inc,15200,0,15200,
7,Every Republican is Crucial PAC,0,15000,15000,
8,Steel Fab Inc,12700,0,12700,
9,DP Riggins & Assoc,10400,0,10400,
10,Hunoval Law Firm,10400,0,10400,
11,Bowman Investments,10200,0,10200,
12,American Bankers Assn,0,10000,10000,
13,Indep Insurance Agents & Brokers/America,0,10000,10000,
14,Clearpath Foundation,10000,0,10000,
15,Pavilion Development Co,10000,0,10000,
16,SAS Institute,10000,0,10000,
17,National Assn of Insurance & Financial Advisors,0,10000,10000,
18,National Auto Dealers Assn,0,10000,10000,
19,BB&T Corp,0,9500,9500,
20,National Assn of Realtors,0,9000,9000,
21,Wells Fargo,4000,5000,9000,
22,Crowder Construction,8600,0,8600,
23,American Security Mortgage,8550,0,8550,
24,Cato Corp,8400,0,8400,
25,Bank of America,0,8000,8000,
26,Captive-Aire Inc,7800,0,7800,
27,Charlotte Pipe & Foundry,7650,0,7650,
28,American Society of Anesthesiologists,0,7500,7500,
29,ACN Inc,7500,0,7500,
30,J Arthur Dail Inc,7500,0,7500,
31,Lorillard Inc,0,7500,7500,
32,Parkdale Mills,7400,0,7400,
33,Rock Holdings,0,7000,7000,
34,Home Depot,0,7000,7000,
35,Honeywell International,0,6998,6998,
36,Presbyterian Hospital,6950,0,6950,
37,Cadrillion Capital,6200,0,6200,
38,Carolina Tractor,6000,0,6000,
39,Barnhill Contracting,6000,0,6000,
40,BASF SE,0,6000,6000,
41,AXA,0,6000,6000,
42,Grant Thornton LLP,0,6000,6000,
43,PricewaterhouseCoopers,0,6000,6000,
44,Speedway Motorsports,6000,0,6000,
45,National Assn of Real Estate Investment Trusts,0,6000,6000,
46,UBS AG,0,6000,6000,
47,SunTrust Banks,0,5500,5500,
48,Piedmont Natural Gas,3000,2500,5500,
49,Investment Co Institute,0,5500,5500,
50,Association for Advanced Life Underwriting,0,5500,5500,
51,Citigroup Inc,0,5500,5500,
52,Carolinas Healthcare System,5426,0,5426,
53,Crawford Group,5350,0,5350,
54,Altria Group,5200,0,5200,
55,Derivatives Advisory Group,5200,0,5200,
56,Randy Marion Automotive,5200,0,5200,
57,Northwestern Mutual,2600,2500,5100,
58,National Rural Electric Cooperative Assn,0,5000,5000,
59,New York Life Insurance,0,5000,5000,
60,National Beer Wholesalers Assn,0,5000,5000,
61,McGuireWoods LLP,5000,0,5000,
62,McKesson Corp,0,5000,5000,
63,Metlife Inc,0,5000,5000,
64,Morgan Stanley,0,5000,5000,
65,PPV Inc (McDonald's),5000,0,5000,
66,Sozf,5000,0,5000,
67,Dickstein Shapiro LLP,0,5000,5000,
68,CSX Corp,0,5000,5000,
69,Freedom Project,0,5000,5000,
70,GlaxoSmithKline,0,5000,5000,
71,Duo Fast Carolinas,5000,0,5000,
72,Ernst & Young,0,5000,5000,
73,Koch Industries,0,5000,5000,
74,Liberty Mutual,0,5000,5000,
75,"Jobs, Economy & Budget Fund",0,5000,5000,
76,Agdata Inc,5000,0,5000,
77,American Institute of CPAs,0,5000,5000,
78,American Land Title Assn,0,5000,5000,
79,Aston Properties,5000,0,5000,
80,AREVA Group,250,4500,4750,
81,Sullivan & Cromwell,4600,0,4600,
82,Mortgage Bankers Assn,0,4500,4500,
83,Babcock & Wilcox,0,4500,4500,
84,Huizenga Holdings,4500,0,4500,
85,Goldman Sachs,0,4500,4500,
86,Cummins Atlantic LLC,4000,0,4000,
87,Independent Community Bankers of America,0,4000,4000,
88,JPMorgan Chase & Co,0,4000,4000,
89,Lowe's Companies,0,4000,4000,
90,AT&T Inc,0,4000,4000,
91,Credit Union National Assn,0,4000,4000,
92,Microsoft Corp,0,4000,4000,
93,National Council of Textile Orgs,0,4000,4000,
94,TIAA-CREF,0,4000,4000,
95,Williams Companies,0,4000,4000,
96,Belk Inc,3850,0,3850,
97,Steve Moore Chevrolet,3600,0,3600,
98,Tyco International,0,3500,3500,
99,Charlotte-Mecklenburg Hospital Authority,0,3500,3500,
100,Capital One Financial,0,3500,3500,
101,DaVita HealthCare Partners,3500,0,3500,
