state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nc,2013,upper,SB 81,NCV00009570,lower,Second Reading,2013-07-11 12:19:00,other,72,42,5
nc,2013,upper,SB 545,NCV00009058,lower,Third Reading,2013-06-10 20:42:00,other,112,0,8
nc,2013,upper,SB 545,NCV00009015,lower,M6 Reconsider  Third Reading,2013-06-06 12:42:00,other,114,0,6
nc,2013,lower,HR 198,NCV00008150,lower,R2 For Adoption,2013-04-17 15:33:00,other,110,0,10
nc,2013,lower,HB 707,NCV00008205,lower,Second Reading,2013-04-22 20:17:00,other,116,0,4
nc,2013,upper,SB 76,NCV00009031,lower,A2 Hager   Second Reading,2013-06-07 10:58:00,other,97,4,19
nc,2013,lower,HB 402,NCV00009518,lower,M11 Concur,2013-07-09 13:52:00,other,115,0,4
nc,2013,lower,HB 402,NCV00008443,lower,Second Reading,2013-05-07 17:37:00,other,115,1,4
nc,2013,lower,HB 698,NCV00008545,lower,Second Reading,2013-05-09 13:33:00,other,113,0,7
nc,2013,lower,HB 558,NCV00010273,lower,M11 Concur,2014-06-18 16:56:00,other,111,0,9
nc,2013,upper,SB 321,NCV00009700,lower,"A3 Moore, T.   Third Reading",2013-07-18 11:03:00,other,107,1,12
nc,2013,upper,SB 505,NCV00009618,lower,Second Reading,2013-07-15 19:47:00,other,113,0,7
nc,2013,lower,HJR 55,NCV00008375,lower,Second Reading,2013-05-02 13:27:00,other,112,0,8
nc,2013,lower,HB 727,NCV00008656,lower,Second Reading,2013-05-14 14:43:00,other,116,0,4
nc,2013,lower,HB 726,NCV00009831,lower,M11 Concur,2013-07-24 14:29:00,other,54,62,4
nc,2013,upper,SB 10,NCV00007729,lower,Second Reading,2013-02-28 15:11:00,other,70,42,8
nc,2013,lower,HB 510,NCV00009624,lower,M11 Concur,2013-07-16 10:42:00,other,113,0,7
nc,2013,lower,HB 350,NCV00008092,lower,Second Reading,2013-04-08 19:41:00,other,114,0,6
nc,2013,lower,HB 482,NCV00008127,lower,Second Reading,2013-04-15 19:40:00,other,112,0,8
nc,2013,upper,SB 83,NCV00008294,lower,Second Reading,2013-04-30 15:33:00,other,117,0,3
nc,2013,lower,HB 143,NCV00008336,lower,Third Reading,2013-05-01 14:58:00,other,114,0,6
nc,2013,lower,HB 135,NCV00008165,lower,Second Reading,2013-04-18 13:29:00,other,113,0,7
nc,2013,lower,HB 1201,NCV00010116,lower,M4 Previous Question  Second Reading,2014-06-05 13:46:00,other,93,20,7
nc,2013,lower,HB 615,NCV00008637,lower,Second Reading,2013-05-14 14:39:00,other,112,4,4
nc,2013,lower,HB 101,NCV00008438,lower,M4 Previous Question  Second Reading,2013-05-07 17:10:00,other,72,43,5
nc,2013,upper,SB 127,NCV00009252,lower,A2 Murry   Second Reading,2013-06-26 13:25:00,other,109,1,10
nc,2013,lower,HB 300,NCV00008767,lower,Second Reading,2013-05-15 18:17:00,other,113,0,7
nc,2013,upper,SB 386,NCV00009547,lower,Second Reading,2013-07-10 14:47:00,other,111,0,8
nc,2013,lower,HB 760,NCV00008254,lower,Second Reading,2013-04-25 13:49:00,other,114,0,6
nc,2013,lower,HB 107,NCV00008752,lower,A1 Hamilton   Third Reading,2013-05-16 14:23:00,other,108,0,12
nc,2013,lower,HB 293,NCV00009805,lower,M11 Concur Sen. Amd. 1,2013-07-24 13:18:00,other,113,1,6
nc,2013,lower,HB 24,NCV00007826,lower,Second Reading,2013-02-13 14:41:00,other,117,0,3
nc,2013,lower,HB 24,NCV00007828,lower,A2 Baskerville   Third Reading,2013-02-14 13:30:00,other,116,0,4
nc,2013,lower,HB 611,NCV00008452,lower,Second Reading,2013-05-07 17:50:00,other,119,0,1
nc,2013,lower,HB 838,NCV00008678,lower,Second Reading,2013-05-14 16:34:00,other,115,0,5
nc,2013,upper,SB 380,NCV00009856,lower,Third Reading,2013-07-26 00:14:00,other,67,40,13
nc,2013,upper,SB 406,NCV00009548,lower,Second Reading,2013-07-10 15:44:00,other,109,1,9
nc,2013,lower,HR 80,NCV00007856,lower,R2 For Adoption,2013-02-12 14:27:00,other,115,0,5
nc,2013,lower,HB 587,NCV00009215,lower,M11 Concur,2013-06-17 19:32:00,other,112,0,8
nc,2013,lower,HB 362,NCV00008774,lower,Second Reading,2013-05-15 22:21:00,other,111,1,8
nc,2013,lower,HB 649,NCV00009603,lower,C RPT Adopted,2013-07-11 11:22:00,other,113,1,5
nc,2013,lower,HB 250,NCV00009508,lower,M11 Not Concur,2013-07-09 13:41:00,other,115,0,4
nc,2013,upper,SB 124,NCV00009005,lower,Second Reading,2013-06-06 12:22:00,other,110,4,6
nc,2013,lower,HB 1031,NCV00010152,lower,A11 Wilkins M3 To Lay On The Table  Third Reading,2014-06-10 16:15:00,other,62,53,5
nc,2013,lower,HB 1031,NCV00010120,lower,A1 Murry   Second Reading,2014-06-05 13:04:00,other,113,2,5
nc,2013,lower,HB 1031,NCV00010154,lower,A10 Murry   Third Reading,2014-06-10 16:12:00,other,114,1,5
nc,2013,lower,HB 1031,NCV00010119,lower,A7 Holley M3 To Lay On The Table  Second Reading,2014-06-05 14:07:00,other,61,54,5
nc,2013,lower,HB 1031,NCV00010124,lower,A5 Hamilton M3 To Lay On The Table  Second Reading,2014-06-05 13:54:00,other,63,48,9
nc,2013,lower,HB 669,NCV00008648,lower,Second Reading,2013-05-14 16:08:00,other,114,1,5
nc,2013,lower,HB 1045,NCV00010091,lower,A1 Stevens   Second Reading,2014-06-03 15:21:00,other,114,0,6
nc,2013,upper,SB 520,NCV00008957,lower,A1 Stevens   Second Reading,2013-06-05 16:10:00,other,115,0,5
nc,2013,lower,HB 843,NCV00008846,lower,Second Reading,2013-05-15 19:05:00,other,112,1,7
nc,2013,upper,SB 883,NCV00010717,lower,Second Reading,2014-07-30 10:45:00,other,68,39,12
nc,2013,lower,HB 498,NCV00008794,lower,A3 Collins   Second Reading,2013-05-15 20:09:00,other,109,2,9
nc,2013,lower,HR 52,NCV00007837,lower,R2 For Adoption,2013-02-04 19:21:00,other,116,0,4
nc,2013,lower,HB 417,NCV00009813,lower,M11 Not Concur Sen. Amd. 2,2013-07-24 22:28:00,other,111,0,9
nc,2013,lower,HB 773,NCV00008662,lower,"A1 Brawley, W.   Second Reading",2013-05-13 20:40:00,other,111,1,8
nc,2013,lower,HB 341,NCV00008770,lower,Second Reading,2013-05-15 18:15:00,other,106,3,11
nc,2013,lower,HB 1091,NCV00010284,lower,Second Reading,2014-06-18 17:22:00,other,114,0,6
nc,2013,upper,SB 132,NCV00009259,lower,Third Reading,2013-06-27 13:16:00,other,69,42,9
nc,2013,upper,SB 786,NCV00009992,lower,A9 Hager   Third Reading,2014-05-29 14:31:00,other,112,2,6
nc,2013,upper,SB 786,NCV00010012,lower,A12 Harrison M3 To Lay On The Table  Third Reading,2014-05-29 14:38:00,other,60,55,5
nc,2013,lower,HB 302,NCV00008032,lower,Third Reading,2013-04-04 13:14:00,other,102,0,18
nc,2013,lower,HB 302,NCV00008016,lower,Second Reading,2013-04-03 15:23:00,other,110,0,10
nc,2013,upper,SB 211,NCV00009048,lower,Second Reading,2013-06-10 19:18:00,other,113,0,7
nc,2013,lower,HB 831,NCV00009777,lower,Second Reading,2013-07-23 18:59:00,other,113,0,7
nc,2013,upper,SB 122,NCV00008132,lower,Second Reading,2013-04-16 15:13:00,other,110,0,10
nc,2013,lower,HB 656,NCV00008544,lower,Second Reading,2013-05-09 13:31:00,other,113,2,5
nc,2013,upper,SB 636,NCV00009597,lower,Second Reading,2013-07-11 12:51:00,other,103,9,7
nc,2013,lower,HB 150,NCV00007905,lower,Second Reading,2013-03-19 14:43:00,other,94,22,4
nc,2013,lower,HB 361,NCV00008418,lower,Second Reading,2013-05-06 20:43:00,other,112,0,8
nc,2013,upper,SB 341,NCV00009653,lower,Second Reading,2013-07-17 15:36:00,other,88,21,11
nc,2013,upper,SB 402,NCV00009943,lower,A27 Hanes ALE-33  Second Reading,2013-06-12 18:55:00,other,52,65,3
nc,2013,upper,SB 294,NCV00010047,lower,Second Reading,2014-05-27 16:56:00,other,117,0,3
nc,2013,lower,HB 456,NCV00009059,lower,M11 Concur,2013-06-10 19:11:00,other,112,0,8
nc,2013,lower,HB 626,NCV00009385,lower,M11 Concur,2013-06-20 11:20:00,other,104,0,16
nc,2013,lower,HB 754,NCV00009528,lower,M11 Concur Sen. Amd. 1,2013-07-09 13:58:00,other,114,0,5
nc,2013,lower,HB 754,NCV00008352,lower,Second Reading,2013-05-01 15:26:00,other,116,0,4
nc,2013,lower,HB 17,NCV00007948,lower,Second Reading,2013-03-26 14:24:00,other,97,20,3
nc,2013,upper,SB 18,NCV00009751,lower,Second Reading,2013-07-23 19:02:00,other,97,15,8
nc,2013,lower,HB 219,NCV00009235,lower,M11 Concur,2013-06-18 14:19:00,other,113,0,7
nc,2013,lower,HB 1069,NCV00010139,lower,Second Reading,2014-06-05 13:02:00,other,77,39,4
nc,2013,lower,HB 505,NCV00008446,lower,Second Reading,2013-05-07 17:44:00,other,111,0,9
nc,2013,lower,HB 664,NCV00008647,lower,Second Reading,2013-05-13 20:02:00,other,109,3,8
nc,2013,upper,SB 189,NCV00008879,lower,Second Reading,2013-05-23 13:47:00,other,109,0,11
