chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
upper,SR 1,NCV00007612,upper,Motion 8 To Adopt,2013-01-09,other,47,0,3
upper,SB 4,NCV00007614,upper,Motion 9 To Concur,2013-02-19,other,1,47,2
upper,SB 10,NCV00007619,upper,Motion 9 To Concur,2013-03-05,other,2,48,0
upper,SR 41,NCV00007633,upper,Motion 8 To Adopt,2013-02-05,other,49,0,1
upper,SR 46,NCV00007634,upper,Motion 8 To Adopt,2013-02-14,other,44,0,6
upper,SR 66,NCV00007635,upper,Motion 8 To Adopt,2013-02-12,other,49,0,1
upper,SR 110,NCV00007642,upper,Motion 8 To Adopt,2013-02-21,other,43,0,7
upper,SR 141,NCV00007643,upper,Motion 8 To Adopt,2013-02-28,other,48,0,2
lower,HB 5,NCV00007657,lower,M11 Concur,2013-02-26,other,113,0,7
upper,SR 251,NCV00007692,upper,Motion 8 To Adopt,2013-03-12,other,49,0,1
lower,HB 23,NCV00007693,lower,M11 Concur,2013-03-12,other,118,0,2
upper,SJR 2,NCV00007708,upper,Second Reading,2013-01-09,other,48,0,2
upper,SJR 2,NCV00007709,lower,Second Reading,2013-01-09,other,116,0,3
upper,SB 4,NCV00007710,upper,SECOND READING,2013-02-04,other,31,17,2
upper,SB 4,NCV00007711,upper,Conference Rpt Motion 8 To Adopt,2013-02-26,other,31,16,3
upper,SB 4,NCV00007712,upper,THIRD READING,2013-02-05,other,32,17,1
upper,SB 4,NCV00007713,lower,M3 To Lay On The Table/Re-Ref HHS  Third Reading,2013-02-14,other,75,40,5
upper,SB 4,NCV00007714,lower,Third Reading,2013-02-14,other,75,42,3
upper,SB 4,NCV00007715,lower,C RPT Adopted,2013-02-26,other,74,40,6
upper,SB 4,NCV00007716,lower,A3 Tine   Second Reading,2013-02-13,other,38,73,9
upper,SB 4,NCV00007717,lower,Second Reading,2013-02-13,other,75,39,6
upper,SB 4,NCV00007718,lower,A1 Insko   Second Reading,2013-02-13,other,40,75,5
upper,SB 4,NCV00007719,lower,A2 Farmer-Butterfield   Second Reading,2013-02-13,other,40,75,5
upper,SB 10,NCV00007720,upper,Amendment 2,2013-02-06,other,15,33,2
upper,SB 10,NCV00007721,upper,Amendment 1,2013-02-06,other,45,3,2
upper,SB 10,NCV00007722,upper,Second Reading,2013-02-06,other,33,16,1
upper,SB 10,NCV00007723,upper,Amendment 4,2013-02-06,other,17,32,1
upper,SB 10,NCV00007725,upper,Amendment 5,2013-02-07,other,49,0,1
upper,SB 10,NCV00007726,upper,Third Reading,2013-02-07,other,35,14,1
upper,SB 10,NCV00007727,upper,Amendment 3,2013-02-06,other,18,30,2
upper,SB 10,NCV00007728,lower,A3 Hamilton M3 To Lay On The Table  Second Reading,2013-02-28,other,59,41,20
upper,SB 10,NCV00007729,lower,Second Reading,2013-02-28,other,70,42,8
upper,SB 10,NCV00007730,lower,A1 Catlin   Second Reading,2013-02-28,other,111,1,8
upper,SB 10,NCV00007731,lower,A2 Harrison   Second Reading,2013-02-28,other,35,76,9
upper,SB 10,NCV00007732,lower,A5 Luebke   Third Reading,2013-03-04,other,42,73,5
upper,SB 10,NCV00007733,lower,"A4 Hall, L. M3 To Lay On The Table  Third Reading",2013-03-04,other,72,43,5
upper,SB 10,NCV00007734,lower,Third Reading,2013-03-04,other,71,43,6
upper,SB 11,NCV00007735,upper,SECOND READING,2013-03-06,other,50,0,0
upper,SB 14,NCV00007736,upper,SECOND READING,2013-02-07,other,49,0,1
upper,SB 14,NCV00007737,lower,Second Reading,2013-02-13,other,110,1,9
upper,SB 16,NCV00007738,upper,SECOND READING,2013-02-26,other,48,0,2
upper,SB 20,NCV00007739,upper,Amendment 1,2013-03-05,other,50,0,0
upper,SB 20,NCV00007740,upper,Second Reading,2013-03-05,other,50,0,0
upper,SB 24,NCV00007741,upper,SECOND READING,2013-03-06,other,50,0,0
upper,SB 33,NCV00007742,upper,SECOND READING,2013-03-05,other,50,0,0
upper,SB 36,NCV00007743,upper,SECOND READING,2013-02-25,other,43,0,7
upper,SB 36,NCV00007744,lower,A1 Murry   Second Reading,2013-03-13,other,117,0,3
upper,SB 36,NCV00007745,lower,Second Reading,2013-03-13,other,117,0,3
upper,SB 38,NCV00007746,upper,SECOND READING,2013-03-13,other,50,0,0
upper,SB 42,NCV00007747,upper,SECOND READING,2013-03-04,other,42,3,5
upper,SB 43,NCV00007748,upper,SECOND READING,2013-02-27,other,46,0,4
upper,SB 44,NCV00007749,upper,SECOND READING,2013-02-27,other,46,0,4
upper,SB 45,NCV00007750,upper,SECOND READING,2013-03-06,other,50,0,0
upper,SJR 47,NCV00007751,upper,Third Reading,2013-02-06,other,48,1,1
upper,SJR 47,NCV00007752,upper,SECOND READING,2013-02-06,other,48,1,1
upper,SJR 47,NCV00007753,lower,Second Reading,2013-02-12,other,115,0,5
upper,SB 50,NCV00007754,upper,SECOND READING,2013-02-13,other,48,0,2
upper,SB 51,NCV00007755,upper,SECOND READING,2013-02-27,other,46,0,4
upper,SB 56,NCV00007756,upper,THIRD READING,2013-03-04,other,45,0,5
upper,SB 56,NCV00007757,upper,SECOND READING,2013-02-28,other,48,0,2
upper,SB 72,NCV00007758,upper,SECOND READING,2013-02-25,other,43,0,7
upper,SB 72,NCV00007759,lower,Third Reading,2013-03-11,other,113,0,7
upper,SB 72,NCV00007760,lower,Second Reading,2013-03-07,other,112,0,8
upper,SB 76,NCV00007761,upper,Amendment 5,2013-02-26,other,45,3,2
upper,SB 76,NCV00007762,upper,Amendment 4,2013-02-26,other,36,12,2
upper,SB 76,NCV00007763,upper,Amendment 2,2013-02-26,other,48,0,2
upper,SB 76,NCV00007764,upper,Amendment 1,2013-02-26,other,47,0,3
upper,SB 76,NCV00007765,upper,THIRD READING,2013-02-27,other,39,7,4
upper,SB 76,NCV00007766,upper,Amendment 6,2013-02-26,other,14,34,2
upper,SB 76,NCV00007767,upper,Second Reading,2013-02-26,other,38,10,2
upper,SB 81,NCV00007768,upper,Amendment 3,2013-03-12,other,17,32,1
upper,SB 81,NCV00007769,upper,Amendment 4,2013-03-12,other,16,33,1
upper,SB 81,NCV00007770,upper,Amendment 1,2013-03-12,other,35,14,1
upper,SB 81,NCV00007771,upper,Amendment 2,2013-03-12,other,17,32,1
upper,SB 81,NCV00007772,upper,Second Reading,2013-03-12,other,33,16,1
upper,SB 81,NCV00007773,upper,THIRD READING,2013-03-13,other,32,18,0
upper,SB 84,NCV00007774,upper,SECOND READING,2013-02-28,other,48,0,2
upper,SB 95,NCV00007776,lower,Second Reading,2013-03-11,other,114,0,6
upper,SB 97,NCV00007777,upper,SECOND READING,2013-03-04,other,45,0,5
upper,SB 97,NCV00007778,upper,THIRD READING,2013-03-05,other,50,0,0
upper,SB 113,NCV00007779,upper,SECOND READING,2013-03-06,other,50,0,0
upper,SB 117,NCV00007780,upper,SECOND READING,2013-03-13,other,50,0,0
upper,SB 122,NCV00007781,upper,Second Reading,2013-03-04,other,45,0,5
upper,SB 123,NCV00007782,upper,SECOND READING,2013-03-11,other,45,0,5
upper,SJR 133,NCV00007783,upper,Second Reading,2013-02-28,other,48,0,2
upper,SJR 133,NCV00007784,lower,Second Reading,2013-02-28,other,107,0,13
lower,HR 1,NCV00007785,lower,R2 For Adoption,2013-01-09,other,87,32,0
lower,HR 2,NCV00007786,lower,R2 For Adoption,2013-01-31,other,120,0,0
lower,HR 3,NCV00007787,lower,R2 For Adoption,2013-01-31,other,120,0,0
lower,HB 4,NCV00007788,upper,Second Reading,2013-02-12,other,36,13,1
lower,HB 4,NCV00007789,upper,Third Reading,2013-02-13,other,36,12,2
lower,HB 4,NCV00007790,upper,Amendment 2,2013-02-12,other,17,32,1
lower,HB 4,NCV00007791,upper,Amendment 3,2013-02-12,other,16,32,2
lower,HB 4,NCV00007792,upper,Amendment 4,2013-02-12,other,17,32,1
lower,HB 4,NCV00007793,upper,Amendment 5,2013-02-12,other,17,32,1
lower,HB 4,NCV00007794,lower,A1 Tine   Second Reading,2013-02-04,other,42,74,4
lower,HB 4,NCV00007795,lower,"A4 Ross, D.   Second Reading",2013-02-04,other,43,75,2
lower,HB 4,NCV00007797,lower,"A6 Hall, D.   Second Reading",2013-02-04,other,40,78,2
lower,HB 4,NCV00007798,lower,A5 Wilkins   Second Reading,2013-02-04,other,40,78,2
lower,HB 4,NCV00007799,lower,A7 Glazier   Third Reading,2013-02-05,other,46,73,1
lower,HB 4,NCV00007800,lower,Second Reading,2013-02-04,other,78,41,1
lower,HB 4,NCV00007801,lower,Third Reading,2013-02-05,other,77,42,1
lower,HB 4,NCV00007802,lower,A8 Queen   Third Reading,2013-02-05,other,42,77,1
lower,HB 4,NCV00007803,lower,A2 Luebke   Second Reading,2013-02-04,other,40,78,2
lower,HB 5,NCV00007804,upper,Amendment 1,2013-02-21,other,43,0,7
lower,HB 5,NCV00007805,upper,Second Reading,2013-02-21,other,43,0,7
lower,HB 5,NCV00007806,lower,Second Reading,2013-01-31,other,116,0,4
lower,HB 8,NCV00007807,lower,Second Reading,2013-02-12,other,110,8,2
lower,HB 8,NCV00007808,lower,Third Reading,2013-02-12,other,110,8,2
lower,HB 10,NCV00007809,upper,Third Reading,2013-03-07,other,33,17,0
lower,HB 10,NCV00007810,upper,Amendment 2,2013-03-07,other,36,14,0
lower,HB 10,NCV00007811,upper,Second Reading,2013-03-06,other,37,13,0
lower,HB 10,NCV00007812,lower,Second Reading,2013-02-13,other,79,37,4
lower,HB 10,NCV00007813,lower,Third Reading,2013-02-14,other,87,29,4
lower,HB 13,NCV00007814,lower,Second Reading,2013-02-14,other,116,0,4
lower,HB 13,NCV00007815,lower,"A1 Ross, D.   Second Reading",2013-02-14,other,113,2,5
lower,HB 13,NCV00007816,lower,A2 Blackwell   Third Reading,2013-02-19,other,116,0,4
lower,HB 13,NCV00007817,lower,Third Reading,2013-02-19,other,115,1,4
lower,HB 19,NCV00007819,upper,SECOND READING,2013-02-27,other,46,0,4
lower,HB 19,NCV00007820,lower,Second Reading,2013-02-12,other,118,0,2
lower,HJR 20,NCV00007821,upper,Second Reading,2013-02-26,other,46,0,4
lower,HJR 20,NCV00007822,lower,Second Reading,2013-01-31,other,119,0,1
lower,HB 23,NCV00007823,upper,SECOND READING,2013-03-07,other,50,0,0
lower,HB 24,NCV00007825,lower,Third Reading,2013-02-14,other,116,0,4
lower,HB 24,NCV00007826,lower,Second Reading,2013-02-13,other,117,0,3
lower,HB 24,NCV00007828,lower,A2 Baskerville   Third Reading,2013-02-14,other,116,0,4
lower,HB 29,NCV00007830,lower,Second Reading,2013-02-20,other,116,1,3
lower,HJR 36,NCV00007831,upper,Second Reading,2013-02-26,other,47,0,3
lower,HJR 36,NCV00007832,lower,Second Reading,2013-02-26,other,114,0,6
lower,HB 44,NCV00007833,upper,SECOND READING,2013-03-07,other,50,0,0
lower,HB 44,NCV00007834,lower,Second Reading,2013-02-14,other,112,1,7
lower,HB 45,NCV00007835,lower,Second Reading,2013-03-13,other,118,0,2
lower,HB 45,NCV00007836,lower,A1 Horn   Second Reading,2013-03-13,other,113,0,7
lower,HR 52,NCV00007837,lower,R2 For Adoption,2013-02-04,other,116,0,4
lower,HR 54,NCV00007838,lower,R2 For Adoption,2013-02-06,other,98,21,1
