state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
nc,2011,lower,HB 100,House Select Comm. on Nonprofits.,2011-02-16 00:05:52.583000,2012-08-22 02:05:02.321000,bill,"Legislative Affairs|Public Services|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers|Welfare and Poverty"
nc,2011,lower,HB 1000,Community Association Mgrs. Licensing Act.,2012-05-18 00:55:05.467000,2012-08-22 02:05:44.141000,bill,Transportation|Municipal and County Issues|Legislative Affairs|Public Services|Executive Branch|Labor and Employment|Other|Housing and Property|State Agencies|Education|Legal Issues
nc,2011,lower,HB 1002,Bill of Rights/Deaf/Hearing Impaired.,2012-05-18 00:55:05.529000,2012-08-22 02:05:44.277000,bill,State Agencies|Education|Health|Public Services|Family and Children Issues
nc,2011,lower,HB 1003,Child Nutrition Program Solvency and Support.,2012-05-18 00:55:05.576000,2012-08-22 02:05:44.291000,bill,"Family and Children Issues|Municipal and County Issues|Public Services|Agriculture and Food|Health|Budget, Spending, and Taxes|State Agencies|Education"
nc,2011,lower,HB 1005,Funds for FSU's Butler Building.,2012-05-18 00:55:05.615000,2012-08-22 02:05:44.299000,bill,"Municipal and County Issues|Public Services|Budget, Spending, and Taxes|Housing and Property|State Agencies|Education"
nc,2011,lower,HB 1006,Special Motorcycle Plate for Vietnam Veterans.,2012-05-18 00:55:05.670000,2012-08-22 02:05:44.303000,bill,Military|Public Services|Transportation|Legal Issues|Labor and Employment
nc,2011,lower,HB 1008,No Televisions on Death Row.,2012-05-18 00:55:05.758000,2012-08-22 02:05:44.322000,bill,Public Services|Judiciary|Technology and Communication|Crime
nc,2011,lower,HB 1009,MSD Amendments.,2012-05-18 00:55:05.770000,2012-08-30 01:54:01.234000,bill,Public Services|Municipal and County Issues|Legislative Affairs
nc,2011,lower,HB 101,Broadband Parity for Counties & Cities.,2011-02-16 00:05:52.585000,2012-08-22 02:05:02.325000,bill,Public Services|Technology and Communication|Municipal and County Issues
nc,2011,lower,HB 1010,UNC TV/Restore Funds.,2012-05-18 00:55:05.790000,2012-08-22 02:05:44.360000,bill,"Public Services|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers"
nc,2011,lower,HB 1011,Budget Full Enrollment Growth for UNC.,2012-05-18 00:55:05.812000,2012-08-22 02:05:44.367000,bill,"State Agencies|Education|Public Services|Budget, Spending, and Taxes"
nc,2011,lower,HB 1012,Effective Utilization of PED.,2012-05-18 00:55:05.874000,2012-08-22 02:05:44.384000,bill,Other|Legislative Affairs
nc,2011,lower,HB 1013, UNC Faculty & Retention Fund.,2012-05-18 00:55:05.885000,2012-08-22 02:05:44.455000,bill,"State Agencies|Education|Transportation|Public Services|Budget, Spending, and Taxes"
nc,2011,lower,HB 1014,Reform Oversight of State-Owned Vehicles.,2012-05-22 00:56:20.756000,2012-08-22 02:05:44.460000,bill,"Transportation|Legislative Affairs|Public Services|Other|Technology and Communication|Budget, Spending, and Taxes|State Agencies"
nc,2011,lower,HB 1015,Economic Development and Finance Changes.,2012-05-22 00:56:20.766000,2012-08-30 01:54:01.385000,bill,Commerce|Public Services|Other|Insurance|Legislative Affairs
nc,2011,lower,HB 1016,Lower Cape Fear Design-Build.,2012-05-22 00:56:20.777000,2012-08-22 02:05:44.529000,bill,Housing and Property|Public Services|Business and Consumers|Municipal and County Issues|Labor and Employment
nc,2011,lower,HB 1017,Changes to Commerce Reporting Requirements.,2012-05-22 00:56:20.879000,2012-08-22 02:05:44.533000,bill,Commerce|State Agencies|Other|Business and Consumers|Public Services
nc,2011,lower,HB 1018,Yadkin Valley Career Academy.,2012-05-22 00:56:20.928000,2012-08-22 02:05:44.538000,bill,State Agencies|Education|Municipal and County Issues|Legislative Affairs
nc,2011,lower,HB 102,Special Plate for Ronald McDonald Houses.,2011-02-16 00:05:52.587000,2012-08-22 02:05:02.340000,bill,"Transportation|Legal Issues|Legislative Affairs|Public Services|Other|Budget, Spending, and Taxes|Business and Consumers"
nc,2011,lower,HB 1021,Justice Reinvestment Clarifications.,2012-05-22 00:56:21.052000,2012-08-30 01:54:01.554000,bill,Legal Issues|Legislative Affairs|Public Services|Judiciary|Crime|State Agencies
nc,2011,lower,HB 1023,Expunction/Nonviolent Offenses.,2012-05-22 00:56:21.096000,2012-08-30 01:54:01.767000,bill,Legislative Affairs|Family and Children Issues|Public Services|Judiciary|Crime|State Agencies
nc,2011,lower,HB 1024,Unemployment Insurance Changes.,2012-05-22 00:56:21.148000,2012-08-22 02:05:44.862000,bill,"Labor and Employment|Insurance|Legislative Affairs|Budget, Spending, and Taxes"
nc,2011,lower,HB 1025,Extend Tax Provisions.,2012-05-22 00:56:21.202000,2012-08-30 01:54:02.191000,bill,"Commerce|Recreation|Transportation|Legal Issues|Legislative Affairs|Public Services|Environmental|Other|Arts and Humanities|Budget, Spending, and Taxes|State Agencies|Business and Consumers"
nc,2011,lower,HB 1026,"Revenue Laws Tech., Clarifying, & Admin Chngs.",2012-05-22 00:56:21.215000,2012-08-22 02:05:45.005000,bill,"Commerce|Transportation|Legal Issues|Legislative Affairs|Public Services|Judiciary|Civil Liberties and Civil Rights|Agriculture and Food|Other|Budget, Spending, and Taxes|Housing and Property|Business and Consumers"
nc,2011,lower,HB 1027,Expedited Rule Making for Forced Combination.,2012-05-22 00:56:21.226000,2012-08-22 02:05:45.020000,bill,"Public Services|Other|Business and Consumers|State Agencies|Budget, Spending, and Taxes"
nc,2011,lower,HB 1028,Appraisal Mgmt Co Reported to Dept of Revenue.,2012-05-22 00:56:21.244000,2012-08-30 01:54:02.767000,bill,"Commerce|Legal Issues|Legislative Affairs|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|Housing and Property|State Agencies|Business and Consumers"
nc,2011,lower,HB 1029,Mayodan Manager Residency.,2012-05-22 00:56:21.255000,2012-08-30 01:54:02.940000,bill,Other|Municipal and County Issues|Legislative Affairs
nc,2011,lower,HB 103,Rqmts. for Min'l Oil Spills - 2.,2011-02-16 00:05:52.589000,2012-08-30 01:53:13.053000,bill,Environmental|Public Services|Health|Legislative Affairs
nc,2011,lower,HB 1030,Accountability for Taxpayer Investment Act.,2012-05-22 00:56:21.268000,2012-08-22 02:05:45.310000,bill,"Commerce|Legislative Affairs|Public Services|Other|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Business and Consumers"
nc,2011,lower,HB 1031,Smarter Gov/Business Intelligence Initiative.,2012-05-22 00:56:21.278000,2012-08-22 02:05:45.314000,bill,"Legislative Affairs|Public Services|Judiciary|Technology and Communication|Budget, Spending, and Taxes|State Agencies"
nc,2011,lower,HB 1032,Morganton Deannexation.,2012-05-22 00:56:21.294000,2012-08-30 01:54:03.393000,bill,Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1035,License Plate Background.,2012-05-23 00:59:12.568000,2012-08-28 02:16:55.580000,bill,Public Services|Transportation|Legal Issues|Legislative Affairs
nc,2011,lower,HB 1036,DOT/DENR Study Expedite Water Quality Reg.,2012-05-23 00:59:12.581000,2012-08-30 01:54:03.870000,bill,Environmental|Public Services|Transportation|Legislative Affairs
nc,2011,lower,HB 1037,Interest Rate on DOT Condemnation Deposits.,2012-05-23 00:59:12.596000,2012-08-22 02:05:45.748000,bill,Commerce|Transportation|Legal Issues|Public Services|Judiciary|Housing and Property|State Agencies
nc,2011,lower,HB 1038,Amend HOV Lane Exemptions/Alt Fuel Vehicles.,2012-05-23 00:59:12.622000,2012-08-22 02:05:45.756000,bill,Environmental|Energy|Transportation|Public Services|Legislative Affairs
nc,2011,lower,HB 1039,Establish Alternative Fuels Study Commission.,2012-05-23 00:59:12.633000,2012-08-22 02:05:45.820000,bill,Commerce|Transportation|Legislative Affairs|Energy|Other|State Agencies|Public Services
nc,2011,lower,HB 104,ACH Pilot on Crisis Intervention Training.,2011-02-16 00:05:52.591000,2012-08-22 02:05:02.362000,bill,Senior Issues|Public Services|Labor and Employment|Other|Health|State Agencies
nc,2011,lower,HB 1040,NCSU & UNC-C/Alt Fuels Research Funds.,2012-05-23 00:59:12.644000,2012-08-22 02:05:45.825000,bill,"Transportation|Legislative Affairs|Municipal and County Issues|Energy|Environmental|Budget, Spending, and Taxes|State Agencies|Education|Public Services|Science and Medical Research"
nc,2011,lower,HB 1041,High Point/Archdale Boundaries.,2012-05-23 00:59:12.658000,2012-08-30 01:54:04.165000,bill,Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1042,Establish Efficiency & Cost-Savings Commn.,2012-05-23 00:59:12.683000,2012-08-22 02:05:45.944000,bill,State Agencies|Government Reform|Other|Public Services|Legislative Affairs
nc,2011,lower,HB 1043,ETJ restriction.,2012-05-23 00:59:12.694000,2012-08-22 02:05:45.949000,bill,Public Services|Other|Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1044,Motorcycle Insurance Discount/Military.,2012-05-23 00:59:12.733000,2012-08-30 01:54:04.424000,bill,Transportation|Legislative Affairs|Public Services|Other|Military|Insurance
nc,2011,lower,HB 1045,Salary Increase for School Employees.,2012-05-23 00:59:12.752000,2012-08-22 02:05:45.969000,bill,"Transportation|Municipal and County Issues|Public Services|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Education"
nc,2011,lower,HB 1046,Funds for Student 2 Student Initiative.,2012-05-23 00:59:12.780000,2012-08-22 02:05:45.974000,bill,"Military|Public Services|Education|State Agencies|Budget, Spending, and Taxes"
nc,2011,lower,HB 1047,Restore Funds for Military Business Center.,2012-05-23 00:59:12.814000,2012-08-22 02:05:45.978000,bill,"Commerce|Municipal and County Issues|Public Services|Budget, Spending, and Taxes|Military|Education"
nc,2011,lower,HB 1048,Incapacity to Proceed Amendments.,2012-05-23 00:59:12.824000,2012-08-30 01:54:04.508000,bill,Drugs|Public Services|Judiciary|Crime|Other|Health|State Agencies
nc,2011,lower,HB 1049,Bladen Community College Fed Loan Program.,2012-05-23 00:59:12.870000,2012-08-28 02:16:55.849000,bill,Commerce|Education|Municipal and County Issues
nc,2011,lower,HB 105,Motorcycle Awareness Month.,2011-02-16 00:05:52.594000,2012-08-22 02:05:02.373000,bill,Public Services|Transportation|Legislative Affairs
nc,2011,lower,HB 1050,Elizabethtown Industr. Park Deannexation.,2012-05-23 00:59:12.882000,2012-08-30 01:54:04.640000,bill,Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1051,Elizabethtown Hayfields Deannexation.,2012-05-23 00:59:12.894000,2012-08-30 01:54:04.709000,bill,Legislative Affairs|Municipal and County Issues
nc,2011,lower,HB 1052,Mechanics Liens/Payment Bond Reforms.,2012-05-23 00:59:12.904000,2012-08-30 01:54:04.907000,bill,"Commerce|Legal Issues|Legislative Affairs|Public Services|Other|Budget, Spending, and Taxes|Housing and Property"
nc,2011,lower,HB 1053,Improve Property Insurance Rate Making.,2012-05-23 00:59:12.928000,2012-08-22 02:05:46.314000,bill,Legal Issues|Legislative Affairs|Public Services|Other|State Agencies|Insurance
nc,2011,lower,HB 1054,Clean Energy and Economic Security Act.,2012-05-23 00:59:12.939000,2012-08-22 02:05:46.319000,bill,"Commerce|Transportation|Legal Issues|Legislative Affairs|Labor and Employment|Energy|Executive Branch|Environmental|Other|Federal, State, and Local Relations|State Agencies|Business and Consumers|Public Services"
nc,2011,lower,HB 1055,Eliminate LME Provider Endorsement.-AB,2012-05-23 00:59:13.035000,2012-08-30 01:54:05.166000,bill,Drugs|State Agencies|Health|Public Services|Legislative Affairs
nc,2011,lower,HB 1056,Partnership for Children Participant Records.,2012-05-23 00:59:13.047000,2012-08-30 01:54:05.222000,bill,"Legislative Affairs|Family and Children Issues|Public Services|Civil Liberties and Civil Rights|Budget, Spending, and Taxes|State Agencies|Business and Consumers"
nc,2011,lower,HB 1057,Restore Funds for Project C.A.R.E.,2012-05-23 00:59:13.062000,2012-08-22 02:05:46.349000,bill,"Senior Issues|State Agencies|Health|Public Services|Budget, Spending, and Taxes"
nc,2011,lower,HB 1058,Reform Workforce Development.,2012-05-23 00:59:13.105000,2012-08-22 02:05:46.353000,bill,Commerce|Legal Issues|Legislative Affairs|Public Services|Municipal and County Issues|Executive Branch|Labor and Employment|Other|Health|Housing and Property|State Agencies|Education
nc,2011,lower,HB 1059,Asheboro Towing.,2012-05-23 00:59:13.115000,2012-08-22 02:05:46.359000,bill,Agriculture and Food|Transportation|Legislative Affairs|Municipal and County Issues|Crime
nc,2011,lower,HB 106,Direct Care Worker Wage and Benefit Study.,2011-02-16 00:05:52.596000,2012-08-22 02:05:02.384000,bill,Senior Issues|Public Services|Health|Legislative Affairs|Labor and Employment
nc,2011,lower,HB 1060,North Carolina Urban Empowerment Initiative.,2012-05-23 00:59:13.127000,2012-08-22 02:05:46.363000,bill,"Commerce|Legislative Affairs|Municipal and County Issues|Public Services|Budget, Spending, and Taxes|Education|Business and Consumers"
nc,2011,lower,HB 1061,High Point Furniture Market Funds.,2012-05-23 00:59:13.158000,2012-08-22 02:05:46.367000,bill,"Commerce|Transportation|Municipal and County Issues|Public Services|Budget, Spending, and Taxes|Housing and Property"
nc,2011,lower,HB 1062,UNCG/NCA&T Nanoscience/Nanoengineering Funds.,2012-05-23 00:59:13.170000,2012-08-22 02:05:46.371000,bill,"Municipal and County Issues|Public Services|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Education|Science and Medical Research"
nc,2011,lower,HB 1063,Excuse School Day for Johnston Co. School.,2012-05-23 00:59:13.180000,2012-08-30 01:54:05.367000,bill,State Agencies|Education|Municipal and County Issues|Legislative Affairs
nc,2011,lower,HB 1064,Shale Gas/Develop Reg. Prgm./Leg. Oversight.,2012-05-23 00:59:13.192000,2012-08-22 02:05:46.383000,bill,Legal Issues|Legislative Affairs|Energy|Environmental|Other|Housing and Property|State Agencies|Business and Consumers|Public Services
nc,2011,lower,HB 1065,Use Moore School Buses for 2014 US Open.,2012-05-23 00:59:13.203000,2012-08-30 01:54:05.421000,bill,Recreation|Transportation|Legislative Affairs|Municipal and County Issues|State Agencies|Education
nc,2011,lower,HB 1066,Passing Title by Will.,2012-05-23 00:59:13.311000,2012-08-30 01:54:05.481000,bill,Housing and Property|Public Services|Other|Legal Issues|Legislative Affairs
nc,2011,lower,HB 1067,Co-owners/Unequal Shares/Simultaneous Death.,2012-05-23 00:59:13.334000,2012-08-30 01:54:05.529000,bill,Housing and Property|Public Services|Other|Legal Issues|Legislative Affairs
nc,2011,lower,HB 1068,Amend UCC Article 9/Secured Transactions.,2012-05-23 00:59:13.353000,2012-08-30 01:54:05.631000,bill,Commerce|Public Services|Business and Consumers|Legal Issues|Legislative Affairs
nc,2011,lower,HB 1069,Intestate Property/Child's Year's Allowance.,2012-05-23 00:59:13.449000,2012-08-30 01:54:05.672000,bill,Family and Children Issues|Public Services|Other|Legal Issues|Legislative Affairs
nc,2011,lower,HB 107,GAST Training Pilot.,2011-02-16 00:05:52.598000,2012-08-22 02:05:02.388000,bill,Senior Issues|Public Services|Labor and Employment|Other|Health|State Agencies|Education
nc,2011,lower,HB 1070,General Statutes Comm. Technical Corrections.,2012-05-23 00:59:13.459000,2012-08-22 02:05:46.737000,bill,"Transportation|Legal Issues|Family and Children Issues|Labor and Employment|Public Services|Municipal and County Issues|Judiciary|Crime|Environmental|Health|Technology and Communication|Budget, Spending, and Taxes|Housing and Property|State Agencies|Education|Insurance|Legislative Affairs|Science and Medical Research"
nc,2011,lower,HB 1071,Wake School Board Organizational Meeting.,2012-05-23 00:59:13.469000,2012-08-30 01:54:05.838000,bill,State Agencies|Education|Municipal and County Issues|Legislative Affairs
nc,2011,lower,HB 1072,Funds for MH/DD Services.,2012-05-23 00:59:13.494000,2012-08-22 02:05:46.752000,bill,"Legislative Affairs|Public Services|Civil Liberties and Civil Rights|Health|Budget, Spending, and Taxes|State Agencies"
nc,2011,lower,HB 1073,Modify UNCHCS Board.,2012-05-23 00:59:13.506000,2012-08-30 01:54:05.943000,bill,Municipal and County Issues|Legislative Affairs|Public Services|Health|State Agencies|Education
nc,2011,lower,HB 1074,"Stop Waste, Fraud, and Abuse in Govt. Act.",2012-05-23 00:59:13.518000,2012-08-30 01:54:06.112000,bill,Senior Issues|Government Reform|Municipal and County Issues|Legislative Affairs|Public Services|Crime|Labor and Employment|Civil Liberties and Civil Rights|Other|Health|State Agencies|Education|Business and Consumers
nc,2011,lower,HB 1075,LME/MCO Governance.,2012-05-23 00:59:13.551000,2012-08-30 01:54:06.214000,bill,Family and Children Issues|Municipal and County Issues|Drugs|Public Services|Health|Business and Consumers|Insurance|Legislative Affairs|Welfare and Poverty
nc,2011,lower,HB 1076,Authorize Reciprocity Agreements for Tolls.-AB,2012-05-23 00:59:13.561000,2012-08-22 02:05:47.436000,bill,State Agencies|Transportation|Public Services
nc,2011,lower,HB 1077,PPP Pilot Toll Project/Ferry Tolls.,2012-05-23 00:59:13.639000,2012-08-30 01:54:06.409000,bill,Commerce|Transportation|Municipal and County Issues|Legislative Affairs|Public Services|Trade|Labor and Employment|Other|State Agencies|Business and Consumers
nc,2011,lower,HB 1078,Privacy of Turnpike Authority Toll Data.-AB,2012-05-23 00:59:13.669000,2012-08-22 02:05:47.494000,bill,Transportation|Public Services|Civil Liberties and Civil Rights|Technology and Communication|State Agencies|Trade|Business and Consumers
nc,2011,lower,HB 1079,DOT Division of Motor Vehicles Leg. Requests.-AB,2012-05-23 00:59:13.679000,2012-08-22 02:05:47.498000,bill,Transportation|Legal Issues|Legislative Affairs|Public Services|Civil Liberties and Civil Rights|Technology and Communication|Science and Medical Research
nc,2011,lower,HB 108,DHHS Study of IOM Task Force Recom 3.1.,2011-02-16 00:05:52.600000,2012-08-22 02:05:02.393000,bill,Senior Issues|Legislative Affairs|Public Services|Other|Health|Housing and Property|State Agencies
nc,2011,lower,HB 1080,"Update Ch. 136 with Term ""Chief Engineer"".-AB",2012-05-23 00:59:13.758000,2012-08-22 02:05:47.502000,bill,Labor and Employment|Public Services|Other|Transportation
nc,2011,lower,HB 1081,Provisional Licensure Changes Medicaid.-AB,2012-05-23 00:59:13.787000,2012-08-30 01:54:06.628000,bill,Social Issues|Legal Issues|Legislative Affairs|Drugs|Public Services|Labor and Employment|Health|State Agencies|Science and Medical Research|Insurance|Welfare and Poverty
nc,2011,lower,HB 1082,Nags Head Conveyance.,2012-05-23 00:59:13.804000,2012-08-22 02:05:47.634000,bill,Senior Issues|Transportation|Municipal and County Issues|Commerce|Public Services|Health|Housing and Property
nc,2011,lower,HB 1083,Funds to Improve Birth Outcomes.,2012-05-24 01:00:24.956000,2012-08-22 02:05:47.645000,bill,"Municipal and County Issues|Public Services|Sexual Orientation and Gender Issues|Health|Budget, Spending, and Taxes|Reproductive Issues|State Agencies|Education"
nc,2011,lower,HB 1084,HOAs/Planned Community Act Amends.,2012-05-24 01:00:24.987000,2012-08-29 02:11:14.903000,bill,"Commerce|Transportation|Legal Issues|Public Services|Budget, Spending, and Taxes|Housing and Property"
nc,2011,lower,HB 1085,State Health Plan/Statutory Changes.-AB,2012-05-24 01:00:25.082000,2012-08-30 01:54:06.921000,bill,Senior Issues|Legislative Affairs|Family and Children Issues|Public Services|Labor and Employment|Health|State Agencies|Education|Insurance
nc,2011,lower,HB 1086,Clay County Courthouse.,2012-05-24 01:00:25.172000,2012-08-22 02:05:47.771000,bill,Housing and Property|Public Services|Municipal and County Issues|Commerce
nc,2011,lower,HB 1087,Fontana Dam Occupancy Tax.,2012-05-24 01:00:25.188000,2012-08-30 01:54:07.137000,bill,"Commerce|Legislative Affairs|Municipal and County Issues|Other|Budget, Spending, and Taxes|Business and Consumers"
