bill_id,title,created_at,updated_at,subjects
HB 10,Remove Route Restriction for NC 540 Loop.,2013-02-05,2014-11-18,State Agencies|Public Services|Transportation|Municipal and County Issues|Legislative Affairs
HB 100,Healthy Families & Workplaces/Paid Sick Days.,2013-02-14,2014-03-05,Labor and Employment|State Agencies|Public Services|Family and Children Issues
HB 1000,WC/Firefighter Occupational Diseases.,2013-04-19,2014-03-05,Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Health|Insurance
HB 1001,Repeal Statesville Civil Service Board.,2013-04-19,2014-03-05,Labor and Employment|State Agencies|Other|Legislative Affairs|Municipal and County Issues
HB 1002,Rail Corridor Lease/Town of Belmont.,2013-04-19,2014-03-05,Commerce|Transportation|Legal Issues|Municipal and County Issues|Public Services|Housing and Property
HB 1004,Town of Aberdeen Multifamily Development.,2013-04-25,2014-03-05,Housing and Property|Legal Issues|Municipal and County Issues
HB 1005,Stanly County Commissioners and Bd. of Ed.,2013-04-30,2014-03-05,Government Reform|Municipal and County Issues|Campaign Finance and Election Issues|Other|State Agencies|Education
HB 1009,Fraternal Order Improvements Exemption.,2013-05-08,2014-03-05,"Legal Issues|Public Services|Federal, State, and Local Relations|Budget, Spending, and Taxes|Housing and Property|Business and Consumers"
HB 101,Special License Plate Development Process.,2013-02-14,2014-08-02,"Public Services|Transportation|Legal Issues|Legislative Affairs|Budget, Spending, and Taxes"
HB 1011,Government Reorg. and Efficiency Act.,2013-05-08,2014-03-05,Commerce|Transportation|Legal Issues|Legislative Affairs|Labor and Employment|Public Services|Executive Branch|Crime|Agriculture and Food|Environmental|Other|Health|Arts and Humanities|Gambling and Gaming|State Agencies|Education|Business and Consumers|Animal Rights and Wildlife Issues|Technology and Communication
HB 1015,Bessemer City Annexation.,2013-06-18,2014-03-05,Legislative Affairs|Municipal and County Issues
HB 102,Online Voter Registration.,2013-02-14,2014-03-05,Transportation|Municipal and County Issues|Public Services|Campaign Finance and Election Issues|Technology and Communication|State Agencies
HB 1025,DOT/DMV Changes.,2014-05-15,2014-07-10,Commerce|Transportation|Legal Issues|Legislative Affairs|Labor and Employment|Public Services|Crime|Agriculture and Food|Environmental|Other|Technology and Communication|State Agencies|Business and Consumers
HB 1026,Update State Rail Safety Oversight.,2014-05-15,2014-06-12,Public Services|Other|Transportation
HB 1027,DWI Interlock Violation/DMV Hearing Site.,2014-05-15,2014-07-02,Transportation|Legal Issues|Municipal and County Issues|Public Services|Judiciary|Crime
HB 1028,Single License Plate Renewal Sticker.,2014-05-15,2014-06-11,Public Services|Transportation|Legal Issues
HB 1029,DMV Paper Titles/DOT FLAP funds.,2014-05-15,2014-06-04,Commerce|Transportation|Legal Issues|Public Services|Other|Housing and Property|State Agencies
HB 103,Legislative Mileage Rate at IRS Rate.,2013-02-14,2014-03-05,"Labor and Employment|Public Services|Budget, Spending, and Taxes|Legislative Affairs"
HB 1031,NC Econ. Dev. Partnership Modifications.,2014-05-15,2014-06-27,"Commerce|Government Reform|Transportation|Legal Issues|Legislative Affairs|Environmental|Public Services|Trade|Agriculture and Food|Labor and Employment|Other|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers|Insurance|Science and Medical Research"
HB 1032,Patent Abuse Bill.,2014-05-15,2014-06-10,Commerce|Legal Issues|Public Services|Judiciary|Executive Branch|Other|State Agencies
HB 1033,Special Assessment/Dam Repair.,2014-05-15,2014-11-18,"Legislative Affairs|Municipal and County Issues|Energy|Environmental|Other|Budget, Spending, and Taxes|Housing and Property|Public Services|Legal Issues"
HB 1034,Volunteer Fire and Rescue Finances (PED).,2014-05-15,2014-07-10,"Senior Issues|Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|Housing and Property|State Agencies|Insurance|Legal Issues"
HB 1035,Funds to Non-State Entities/Amend Laws.,2014-05-15,2014-07-23,"Public Services|Health|Budget, Spending, and Taxes|Federal, State, and Local Relations|Education|Business and Consumers|Insurance"
HB 1036,No Revolving Door Employment.,2014-05-15,2014-06-26,Labor and Employment|State Agencies|Public Services|Business and Consumers|Legal Issues
HB 1037,Strengthen Controlled Substances Monitoring.,2014-05-15,2014-05-17,"Legal Issues|Legislative Affairs|Drugs|Public Services|Civil Liberties and Civil Rights|Labor and Employment|Other|Health|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers|Insurance|Welfare and Poverty"
HB 1038,Driver Ed Performance Indicators (PED).,2014-05-15,2014-05-17,Transportation|Legal Issues|Legislative Affairs|Public Services|Technology and Communication|State Agencies|Education
HB 1039,NCVPS courses/Nonpublic School Students.,2014-05-15,2014-05-17,"Legislative Affairs|Public Services|Education|State Agencies|Budget, Spending, and Taxes"
