leg_id,full_name,first_name,last_name,chamber,district,party,transparencydata_id,photo_url
NCL000340,Brad Salmon,Brad,Salmon,lower,51,Democratic,,http://www.ncga.state.nc.us/House/pictures/hiRes/693.jpg
NCL000343,Dan Bishop,Dan,Bishop,lower,104,Republican,,http://www.ncga.state.nc.us/House/pictures/hiRes/698.jpg
NCL000328,Larry Yarborough,Larry,Yarborough,lower,2,Republican,,http://www.ncga.state.nc.us/House/pictures/hiRes/694.jpg
NCL000327,Ralph C. Johnson,Ralph C.,Johnson,lower,58,Democratic,,http://www.ncga.state.nc.us/House/pictures/hiRes/699.jpg
NCL000270,Brian Brown,Brian,Brown,lower,9,Republican,859ee9464b094846a8fa3a2a15a165c1,http://www.ncga.state.nc.us/House/pictures/hiRes/655.jpg
NCL000276,Jeffrey Elmore,Jeffrey,Elmore,lower,94,Republican,ee2787cd9f4a4fb7ae4ba7d36d5ba0fe,http://www.ncga.state.nc.us/House/pictures/hiRes/643.jpg
NCL000333,John A. Fraley,John A.,Fraley,lower,95,Republican,,http://www.ncga.state.nc.us/House/pictures/hiRes/686.jpg
NCL000289,Chris Malone,Chris,Malone,lower,35,Republican,,http://www.ncga.state.nc.us/House/pictures/hiRes/648.jpg
NCL000266,Nathan Baskerville,Nathan,Baskerville,lower,32,Democratic,480032d190bf44c6a36a2ba21ca9b526,http://www.ncga.state.nc.us/House/pictures/hiRes/649.jpg
NCL000267,"John R. Bell, IV",John R.,"Bell, IV",lower,10,Republican,,http://www.ncga.state.nc.us/House/pictures/hiRes/661.jpg
NCL000305,Paul Tine,Paul,Tine,lower,6,Unaffiliated,2c39b3109c56491c849dfacd2f7e8b27,http://www.ncga.state.nc.us/House/pictures/hiRes/654.jpg
NCL000284,Jon Hardister,Jon,Hardister,lower,59,Republican,587f934492e04a0c9a9252dd814328c0,http://www.ncga.state.nc.us/House/pictures/hiRes/645.jpg
NCL000229,Larry G. Pittman,Larry G.,Pittman,lower,82,Republican,7f7905e7496a4dcfb9dce0f9594a14c1,http://www.ncga.state.nc.us/House/pictures/hiRes/633.jpg
NCL000332,John Ager,John,Ager,lower,115,Democratic,,http://www.ncga.state.nc.us/House/pictures/hiRes/689.jpg
NCL000312,Bobbie Richardson,Bobbie,Richardson,lower,7,Democratic,,http://www.ncga.state.nc.us/House/pictures/hiRes/680.jpg
NCL000265,Dean Arp,Dean,Arp,lower,69,Republican,ba9709a7184545b19dc010b643277ea6,http://www.ncga.state.nc.us/House/pictures/hiRes/640.jpg
NCL000091,Susan C Fisher,Susan C.,Fisher,lower,114,Democratic,dbc441fe8da049d3947ca99d0cb406a4,http://www.ncga.state.nc.us/House/pictures/hiRes/463.jpg
