organization,description,total donations to House members in 2013
EMILY's List,"EMILY's List, whose name is an acronym (Early Money is Like Yeast), is a national political action committee that works to elect pro-choice female Democrats. The group has turned the bundling of campaign contributions into an art form, enlisting thousands of members nationwide to direct their money to key races. (source: OpenSecrets)",46869
Signature Bank,"of New York City, as well as Nassau, Suffolk and Westchester counties. (source: Signature Bank)",40000
Wells Fargo,"One of the largest banking and financial services holding companies in the world, Wells Fargo is a powerful political player. The company, which is considered one of the four major banks in the United States, acquired Wachovia in 2008 and does business with one in three households in the U.S. (source: OpenSecrets)",37350
Massachusetts Mutual Life Insurance,This insurance giant spent nearly $1.4 million on federal campaigns during the 2008 election cycle by giving to both Democrats and Republicans. The company has consistently given large sums to leaders of both parties. (source: OpenSecrets),34250
Citizens First Bank,No description available.,30550
Every Republican is Crucial PAC,"ERIC PAC is a Leadership Political Action Committee, described as a separate pot of money to help other politicians. By making donations to members of their party, ambitious lawmakers can use their leadership PACs to gain clout among their colleagues and boost their bids for leadership posts or committee chairmanships. Politicians also use leadership PACs to lay the groundwork for their own campaigns for higher office. And some use their PACs to hire additional staff—sometimes even their family members—and to travel around the country or eat in some of Washington's finest restaurants. The limits on how a politician can spend leadership PAC money are not especially strict. (source: OpenSecrets)",30000
Indep Insurance Agents & Brokers/America,"The Independent Insurance Agents and Brokers of America is a national alliance of 300,000 business owners and their employees who offer a variety of insurance and financial services products. A member of the insurance industry, the IIABA has focused its federal lobbying efforts on insurance licensing reform, the federal crop insurance act and other insurance issues. (source: OpenSecrets)",30000
Koch Industries,"The second-largest private company in the United States, Koch Industries is also a conglomerate, whose subsidiary businesses operate in some of the world's most profitable markets. Given such a diverse portfolio, it's no surprise that the company has spent millions of dollars lobbying the federal government this past decade on a range of issues, from defense appropriations to financial regulatory reform. (source: OpenSecrets)",30000
PricewaterhouseCoopers,"PricewaterhouseCoopers, now called PwC after a company rebranding in September 2010, is one of the Big Four accounting and professional services firms. The organization operates in 154 countries and provides assurance, tax and business consulting services. (source: OpenSecrets)",30000
Titan Technology Partners,"TITAN Technology Partners Limited operates as a consulting, technology services, and outsourcing company in the United States and internationally. TITAN Technology Partners Limited was founded in 1998 and is headquartered in Charlotte, North Carolina with offices in London, United Kingdom; Singapore; and Pune, India. As of April 1, 2014, TITAN Technology Partners Limited operates as a subsidiary of Velocity Technology Solutions, Inc. (source: Bloomberg) ",27600
Investment Co Institute,"Founded in 1940, the Investment Company Institute, based in Washington, D.C., is the national trade association of U.S. investment companies, which includes mutual funds, closed-end funds, exchange-traded funds and unit investment trusts. (source: Investopedia)",27500
JPMorgan Chase & Co,"JPMorgan Chase is one of the nation's leading financial services firms, offering commercial and consumer banking and credit services, securities brokerage and financial consulting. Like the rest of the finance sector, the company hit hard financial times in 2008 and received billions of dollars in taxpayer money to re-gain its footing. (source: OpenSecrets)",27000
Ward & Smith,"Ward and Smith, P.A. is a full-service NC law firm with offices in Asheville, Greenville, New Bern, Raleigh, & Wilmington with more than 35 practice groups. (source: Ward & Smith)",26092
General Electric,"General Electric is one of the world's most diverse companies, dabbling in virtually every industry under the sun. Among other things, it manufactures aircraft engines, locomotives, household appliances, light bulbs and plastics. (source: OpenSecrets)",25500
Velocity Solutions,"Velocity Solutions, Inc. provides Web-based revenue enhancement solutions for financial services, insurance, and healthcare industries in the United States. The company was founded in 1995 and is based in Wilmington, North Carolina with a subsidiary location in Memphis, Tennessee. (source: Bloomberg)",25400
Duke Energy,"Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States and Latin America. Duke Energy Corporation is headquartered in Charlotte, North Carolina. (source: Bloomberg)  ",22350
Full Sail,"Full Sail, LLC is an educational institution that offers under-graduate and post-graduate programs. It offers bachelor's and associate's degrees in computer animation, digital arts and design, entertainment business, film, game development, recording arts, show production and touring. The institution was founded in 1979 and is based in Winter Park, Florida.",21630
Capitala Investment Advisors,"Capitala Investment Advisors is a private equity firm specializing in sponsor-led buyouts, mezzanine, management buyouts, recapitalizations, equity securities issued by lower and traditional middle-market companies, and growth financings in small and lower middle market companies. Capitala Investment Advisors was founded in 1998 and is based in Charlotte, North Carolina. (source: Bloomberg)",20400
Wallace & Graham,"A law firm based in Salisbury, North Carolina. (source: Wallace & Graham)",20400
